bairro_origem,bairro_destino,logradouro,observacao,peso
Aflitos,Encruzilhada,Avenida João de Barros,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Aflitos,Espinheiro,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Aflitos,Graças,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Aflitos,Rosarinho,Avenida Santos Dumont,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.00,1.0
Afogados,Bongi,Estrada do Bongi Armando da Fonte,tipo=ESTRADA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.65,2.65
Afogados,Cabanga,Avenida Sul Gov. Cid Sampaio,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Afogados,Ilha Joana Bezerra,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Afogados,Ilha do Retiro,Estrada dos Remédios,tipo=ESTRADA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.40,1.4
Afogados,Imbiribeira,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Afogados,Jiquiá,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Afogados,Mangueira,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Afogados,Mustardinha,Avenida Mustardinha,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.60,2.6
Afogados,Prado,Estrada do Bongi Armando da Fonte,tipo=ESTRADA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.65,2.65
Afogados,São José,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Alto José Bonifácio,Alto José do Pinho,Rua Córrego José Grande,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.25,3.25
Alto José Bonifácio,Alto Santa Terezinha,Rua Adustina,tipo=RUA;pav=ESCADARIA;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.05,3.05
Alto José Bonifácio,Brejo de Beberibe,Avenida Vereador Otacílio Azevedo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Alto José Bonifácio,Linha do Tiro,Rua Alto Itaúna,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.25,3.25
Alto José Bonifácio,Morro da Conceição,Rua Alexânia,tipo=RUA;pav=ESCADARIA;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.05,3.05
Alto José Bonifácio,Vasco da Gama,Avenida Vereador Otacílio Azevedo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Alto José do Pinho,Alto Santa Terezinha,Rua Arlindo Cisneiros,tipo=RUA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.50,2.5
