track_a,track_b,common_genres,n_common,peso,sim
my hair,warm,pop,1,0.197699,0.802301
my hair,off the table (with The Weeknd),pop,1,0.009271,0.990729
intro (end of the world) - extended,my hair,pop,1,0.194312,0.805688
my hair,west side,pop,1,0.002179,0.997821
fake smile,my hair,pop,1,0.1812,0.8188
The Way (feat. Mac Miller),my hair,pop,1,0.1896,0.8104
my hair,six thirty,pop,1,0.012863,0.987137
motive (with Doja Cat),my hair,pop,1,0.017325,0.982675
my hair,we can't be friends (wait for your love),pop,1,0.198962,0.801038
my hair,supernatural,pop,1,0.196004,0.803996
NASA,my hair,pop,1,0.172349,0.827651
Right There,my hair,pop,1,0.205871,0.794129
my hair,nasty,pop,1,0.015094,0.984906
love language,my hair,pop,1,0.011702,0.988298
Love Me Harder,my hair,pop,1,0.20978,0.79022
in my head,my hair,pop,1,0.186504,0.813496
my hair,twilight zone,pop,1,0.194094,0.805906
my hair,obvious,pop,1,0.009221,0.990779
my hair,"yes, and?",pop,1,0.198652,0.801348
i wish i hated you,my hair,pop,1,0.186902,0.813098
One Last Time,my hair,pop,1,0.208194,0.791806
intro (end of the world),my hair,pop,1,0.2044,0.7956
my hair,pov,pop,1,0.014364,0.985636
my hair,the boy is mine,pop,1,0.204297,0.795703
my hair,positions,pop,1,0.225124,0.774876
boyfriend (with Social House),my hair,pop,1,0.192526,0.807474
"break up with your girlfriend, i'm bored",my hair,pop,1,0.188755,0.811245
The Way,my hair,pop,1,0.200894,0.799106
Saturn Returns Interlude,my hair,pop,1,0.19123,0.80877
my hair,safety net (feat. Ty Dolla $ign),pop,1,0.009953,0.990047
just like magic,my hair,pop,1,0.010629,0.989371
bloodline,my hair,pop,1,0.21574,0.78426
Dangerous Woman,my hair,pop,1,0.221873,0.778127
Stuck with U (with Justin Bieber),my hair,pop,1,0.207477,0.792523
Touch It,my hair,pop,1,0.209828,0.790172
Into You,my hair,pop,1,0.212663,0.787337
better off,my hair,pop,1,0.204644,0.795356
don't wanna break up again,my hair,pop,1,0.215886,0.784114
Everyday,my hair,pop,1,0.224233,0.775767
Side To Side,my hair,pop,1,0.229322,0.770678
everytime,my hair,pop,1,0.212146,0.787854
I Don't Care,my hair,pop,1,0.223659,0.776341
God is a woman,my hair,pop,1,0.216745,0.783255
Daydreamin',my hair,pop,1,0.214722,0.785278
Thinking Bout You,my hair,pop,1,0.213126,0.786874
bad idea,my hair,pop,1,0.202569,0.797431
Bad Decisions,my hair,pop,1,0.22108,0.77892
Break Free,my hair,pop,1,0.227002,0.772998
Baby I,my hair,pop,1,0.225703,0.774297
make up,my hair,pop,1,0.199951,0.800049
Knew Better / Forever Boy,my hair,pop,1,0.219707,0.780293
my hair,"thank u, next",pop,1,0.217422,0.782578
Santa Tell Me,my hair,pop,1,0.221148,0.778852
my hair,true story,pop,1,0.2056,0.7944
Let Me Love You,my hair,pop,1,0.216432,0.783568
breathin,my hair,pop,1,0.21319,0.78681
Sometimes,my hair,pop,1,0.212535,0.787465
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),my hair,pop,1,0.197502,0.802498
eternal sunshine,my hair,pop,1,0.215295,0.784705
dandelion,my hair,pop,1,0.219116,0.780884
my hair,ordinary things (feat. Nonna),pop,1,0.202729,0.797271
my hair,shut up,pop,1,0.033632,0.966368
Problem,my hair,pop,1,0.224958,0.775042
imperfect for you,my hair,pop,1,0.216298,0.783702
imagine,my hair,pop,1,0.209269,0.790731
7 rings,my hair,pop,1,0.218862,0.781138
Just A Little Bit Of Your Heart,my hair,pop,1,0.215783,0.784217
Moonlight,my hair,pop,1,0.205551,0.794449
34+35,my hair,pop,1,0.043108,0.956892
Honeymoon Avenue,my hair,pop,1,0.225123,0.774877
Be Alright,my hair,pop,1,0.204455,0.795545
Greedy,my hair,pop,1,0.210728,0.789272
bye,my hair,pop,1,0.211523,0.788477
my hair,no tears left to cry,pop,1,0.21301,0.78699
Best Mistake,my hair,pop,1,0.219423,0.780577
ghostin,my hair,pop,1,0.208655,0.791345
my hair,needy,pop,1,0.213555,0.786445
Leave Me Lonely,my hair,pop,1,0.215504,0.784496
off the table (with The Weeknd),warm,pop,1,0.199726,0.800274
intro (end of the world) - extended,warm,pop,1,0.003387,0.996613
warm,west side,pop,1,0.199878,0.800122
fake smile,warm,pop,1,0.206366,0.793634
The Way (feat. Mac Miller),warm,pop,1,0.177576,0.822424
six thirty,warm,pop,1,0.199712,0.800288
motive (with Doja Cat),warm,pop,1,0.213432,0.786568
warm,we can't be friends (wait for your love),pop,1,0.19658,0.80342
supernatural,warm,pop,1,0.200042,0.799958
NASA,warm,pop,1,0.200832,0.799168
Right There,warm,pop,1,0.212855,0.787145
nasty,warm,pop,1,0.205745,0.794255
love language,warm,pop,1,0.200873,0.799127
Love Me Harder,warm,pop,1,0.234946,0.765054
in my head,warm,pop,1,0.21167,0.78833
twilight zone,warm,pop,1,0.185423,0.814577
obvious,warm,pop,1,0.205267,0.794733
warm,"yes, and?",pop,1,0.19627,0.80373
i wish i hated you,warm,pop,1,0.191763,0.808237
One Last Time,warm,pop,1,0.234133,0.765867
intro (end of the world),warm,pop,1,0.209262,0.790738
pov,warm,pop,1,0.204823,0.795177
the boy is mine,warm,pop,1,0.183485,0.816515
positions,warm,pop,1,0.232079,0.767921
boyfriend (with Social House),warm,pop,1,0.220325,0.779675
