track_id,track_name,track_number,track_popularity,track_duration_ms,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,genres_list,n_genres
6pymOcrCnMuCWdgGVTvUgP,3,57,61,213173,False,Britney Spears,80,17755451,['pop'],325wcm5wMnlfjmKZ8PXIIn,The Singles Collection,2009-11-09,58,compilation,['pop'],1
5JLv62qFIS1DR3zGEcApRt,Wide Awake,15,75,220946,False,Katy Perry,83,38385499,['pop'],5BvgP623rtvlc0HDcpzquz,Teenage Dream: The Complete Confection,2012-03-12,19,album,['pop'],1
1YTuMc934yzN1PKjSIaspV,Brave New Girl,1,40,208013,False,Britney Spears,80,17755451,['pop'],0z7pVBGOD7HCIB7S8eLkLI,In The Zone,2003-11-13,13,album,['pop'],1
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,2,75,179640,False,Katy Perry,83,38385499,['pop'],3OALgjCs6Lqw41853v4wEQ,One Of The Boys,2008-06-17,13,album,['pop'],1
6u7gmPOz7pzzaeR9xSBpsR,my hair,8,62,158436,False,Ariana Grande,90,107374593,['pop'],3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,14,album,['pop'],1
7IwMagdxfa8GLK0JOcDTsP,warm,16,48,201905,False,Ariana Grande,90,107374593,['pop'],6kXXIMyzRgQeai4A0DsXOn,eternal sunshine deluxe: brighter days ahead,2025-03-28,19,album,['pop'],1
5Pc594FhDA2Fa2prE75GT0,Pretty Please,6,50,194607,True,Dua Lipa,85,46886554,['pop'],5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27,13,album,['pop'],1
7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),5,65,239949,False,Ariana Grande,90,107374593,['pop'],3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,14,album,['pop'],1
2hdy9Wt9qp7M7d0U3ossu2,If U Seek Amy,6,71,216520,False,Britney Spears,80,17755451,['pop'],2tve5DGwub1TtbX1khPX5j,Circus (Deluxe Version),2008-12-02,15,album,['pop'],1
0IMGXCX264tTnhuFGysBpT,intro (end of the world) - extended,14,48,161252,False,Ariana Grande,90,107374593,['pop'],6kXXIMyzRgQeai4A0DsXOn,eternal sunshine deluxe: brighter days ahead,2025-03-28,19,album,['pop'],1
3CVi9Tc6zZgaHnkjvj7obb,Teenage Dream - Kaskade Club Remix,17,28,387973,False,Katy Perry,83,38385499,['pop'],06SY6Ke6mXzZHhURLVU57R,Teenage Dream,2010-08-24,17,album,['pop'],1
0dRhSF9LV0HR8Jwd3MMMKJ,Everytime,12,66,230306,False,Britney Spears,80,17755451,['pop'],0z7pVBGOD7HCIB7S8eLkLI,In The Zone,2003-11-13,13,album,['pop'],1
6ic8OlLUNEATToEFU3xmaH,Gimme More,1,84,251240,True,Britney Spears,80,17755451,['pop'],1ePkYcH5ZQCb1b4tQeiEDj,Blackout,2007-10-25,15,album,['pop'],1
2vPCRs3g0vdLU8sHlAEytO,Outrageous,7,60,201906,False,Britney Spears,80,17755451,['pop'],0z7pVBGOD7HCIB7S8eLkLI,In The Zone,2003-11-13,13,album,['pop'],1
02Z1u6mX0puSryZFJpqV0G,Not Like The Movies,12,35,241333,False,Katy Perry,83,38385499,['pop'],06SY6Ke6mXzZHhURLVU57R,Teenage Dream,2010-08-24,17,album,['pop'],1
1whfVLMKWqAX3uk97VXsNN,west side,10,62,132278,False,Ariana Grande,90,107374593,['pop'],3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,14,album,['pop'],1
6dgUya35uo964z7GZXM07g,Nonsense,9,83,163648,False,Sabrina Carpenter,91,26516295,['pop'],5kDmlA2g9Y1YCbNo2Ufxlz,emails i can't send,2022-07-15,13,album,['pop'],1
235LXPXfi0SmOaS9TaCh3c,Teenage Dream,1,68,227741,False,Katy Perry,83,38385499,['pop'],06SY6Ke6mXzZHhURLVU57R,Teenage Dream,2010-08-24,17,album,['pop'],1
3T9CfDxFYqZWSKxd0BhZrb,Wait,3,63,190642,False,Maroon 5,85,45764832,['pop'],1Li4rADxSxjT2g4xqUcMYh,Red Pill Blues (Deluxe),2018-06-15,22,album,['pop'],1
2t3BqduzpMJVMo5cceBLQY,Circle The Drain,6,36,272880,True,Katy Perry,83,38385499,['pop'],06SY6Ke6mXzZHhURLVU57R,Teenage Dream,2010-08-24,17,album,['pop'],1
5nCthAh3jt4xKuLJAifAaR,Harleys In Hawaii,1,73,185815,False,Katy Perry,83,38385499,['pop'],30UjBkRwwBeCdspCGPBB8V,Harleys In Hawaii,2019-10-16,1,single,['pop'],1
3wFLWP0FcIqHK1wb1CPthQ,fake smile,5,63,208880,True,Ariana Grande,90,107374593,['pop'],2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",2019-02-08,12,album,['pop'],1
21B4gaTWnTkuSh77iWEXdS,Juno,10,83,223192,True,Sabrina Carpenter,91,26516295,['pop'],3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23,12,album,['pop'],1
0NfwNHAyi4s9HVes4JkaXA,This Moment,11,39,226597,False,Katy Perry,83,38385499,['pop'],5MQBzs5YlZlE28mD9yUItn,PRISM (Deluxe),2013-10-18,16,album,['pop'],1
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,1,72,183290,False,Dua Lipa,85,46886554,['pop'],0ix3XtPV1LwmZADsprKxcp,Don't Start Now,2019-10-31,1,single,['pop'],1
3mC8VlVBwdVxCTq4cYZr64,Future Nostalgia,1,47,184881,False,Dua Lipa,85,46886554,['pop'],5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27,13,album,['pop'],1
1oXHXIB8rHgwHSsPRNjEzn,Last Dance,17,56,228976,False,Dua Lipa,85,46886554,['pop'],01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),2017-06-02,17,album,['pop'],1
4gbVRS8gloEluzf0GzDOFc,Maps,1,84,189960,False,Maroon 5,85,45764832,['pop'],2Auw0pTT6EcQdvHNimhLQI,V,2014-09-02,12,album,['pop'],1
1nueTG77MzNkJTKQ0ZdGzT,Don't Wanna Know (feat. Kendrick Lamar),14,64,214265,False,Maroon 5,85,45764832,['pop'],3ThQ5dvf9wlqB0C7evh5nH,Red Pill Blues (Deluxe),2018-06-15,16,album,['pop'],1
1qyw5wSUkEvH8DtaCdx7Lg,Go Go Juice,9,85,193315,True,Sabrina Carpenter,91,26516295,['pop'],1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29,12,album,['pop'],1
1Onx2O64wzyA7ZzOsBBqBJ,The Way (feat. Mac Miller),8,52,227033,False,Ariana Grande,90,107374593,['pop'],2VSBGJ8bUuNgmOYXHIQagM,Yours Truly (Tenth Anniversary Edition),2023-08-25,19,album,['pop'],1
