bairro,grau,ordem_ego,tamanho_ego,densidade_ego
AFLITOS,4,5,0,0.0
AFOGADOS,10,11,0,0.0
AGUA FRIA,8,9,0,0.0
ALTO DO MANDU,5,6,0,0.0
ALTO JOSE BONIFACIO,6,7,0,0.0
ALTO JOSE DO PINHO,7,8,0,0.0
ALTO SANTA TEREZINHA,6,7,0,0.0
APIPUCOS,7,8,0,0.0
AREIAS,7,8,0,0.0
ARRUDA,8,9,0,0.0
BARRO,5,6,0,0.0
BEBERIBE,4,5,0,0.0
BOA VIAGEM,4,5,0,0.0
BOA VISTA,9,10,0,0.0
BOMBA DO HEMETERIO,5,6,0,0.0
BONGI,4,5,0,0.0
BRASILIA TEIMOSA,1,2,0,0.0
BREJO DA GUABIRABA,5,6,0,0.0
BREJO DE BEBERIBE,7,8,0,0.0
CABANGA,3,4,0,0.0
CACOTE,3,4,0,0.0
CAJUEIRO,3,4,0,0.0
CAMPINA DO BARRETO,5,6,0,0.0
CAMPO GRANDE,7,8,0,0.0
CASA AMARELA,11,12,0,0.0
CASA FORTE,4,5,0,0.0
CAXANGA,5,6,0,0.0
CIDADE UNIVERSITARIA,4,5,0,0.0
COELHOS,5,6,0,0.0
COHAB - IBURA DE CIMA,3,4,0,0.0
COQUEIRAL,3,4,0,0.0
CORDEIRO,8,9,0,0.0
CORREGO DO JENIPAPO,6,7,0,0.0
CURADO,8,9,0,0.0
DERBY,5,6,0,0.0
DOIS IRMAOS,5,6,0,0.0
DOIS UNIDOS,4,5,0,0.0
ENCRUZILHADA,8,9,0,0.0
ENGENHO DO MEIO,5,6,0,0.0
ESPINHEIRO,6,7,0,0.0
ESTANCIA,3,4,0,0.0
FUNDAO,4,5,0,0.0
GRACAS,10,11,0,0.0
GUABIRABA,5,6,0,0.0
HIPODROMO,3,4,0,0.0
IBURA,8,9,0,0.0
ILHA DO LEITE,4,5,0,0.0
ILHA DO RETIRO,6,7,0,0.0
ILHA JOANA BEZERRA,6,7,0,0.0
IMBIRIBEIRA,4,5,0,0.0
IPSEP,4,5,0,0.0
IPUTINGA,7,8,0,0.0
JAQUEIRA,5,6,0,0.0
JARDIM SAO PAULO,5,6,0,0.0
JIQUIA,5,6,0,0.0
JORDAO,3,4,0,0.0
LINHA DO TIRO,6,7,0,0.0
MACAXEIRA,4,5,0,0.0
MADALENA,7,8,0,0.0
MANGABEIRA,5,6,0,0.0
MANGUEIRA,4,5,0,0.0
MONTEIRO,5,6,0,0.0
MORRO DA CONCEICAO,5,6,0,0.0
MUSTARDINHA,4,5,0,0.0
NOVA DESCOBERTA,7,8,0,0.0
PAISSANDU,6,7,0,0.0
PARNAMIRIM,5,6,0,0.0
PASSARINHO,4,5,0,0.0
PAU FERRO,1,2,0,0.0
PEIXINHOS,3,4,0,0.0
PINA,3,4,0,0.0
POCO,4,5,0,0.0
PONTO DE PARADA,6,7,0,0.0
PORTO DA MADEIRA,4,5,0,0.0
PRADO,7,8,0,0.0
RECIFE,3,4,0,0.0
ROSARINHO,5,6,0,0.0
SAN MARTIN,10,11,0,0.0
SANCHO,4,5,0,0.0
SANTANA,6,7,0,0.0
SANTO AMARO,7,8,0,0.0
SANTO ANTONIO,5,6,0,0.0
SAO JOSE,6,7,0,0.0
SITIO DOS PINTOS - SAO BRAS,2,3,0,0.0
SOLEDADE,2,3,0,0.0
TAMARINEIRA,9,10,0,0.0
TEJIPIO,4,5,0,0.0
TORRE,6,7,0,0.0
TORREAO,4,5,0,0.0
TORROES,4,5,0,0.0
TOTO,3,4,0,0.0
VARZEA,4,5,0,0.0
VASCO DA GAMA,5,6,0,0.0
ZUMBI,4,5,0,0.0
