bairro,grau
AFLITOS,4
AFOGADOS,10
AGUA FRIA,8
ALTO DO MANDU,5
ALTO JOSE BONIFACIO,6
ALTO JOSE DO PINHO,7
ALTO SANTA TEREZINHA,6
APIPUCOS,7
AREIAS,7
ARRUDA,8
BARRO,5
BEBERIBE,4
BOA VIAGEM,4
BOA VISTA,9
BOMBA DO HEMETERIO,5
BONGI,4
BRASILIA TEIMOSA,1
BREJO DA GUABIRABA,5
BREJO DE BEBERIBE,7
CABANGA,3
CACOTE,3
CAJUEIRO,3
CAMPINA DO BARRETO,5
CAMPO GRANDE,7
CASA AMARELA,11
CASA FORTE,4
CAXANGA,5
CIDADE UNIVERSITARIA,4
COELHOS,5
COHAB - IBURA DE CIMA,3
COQUEIRAL,3
CORDEIRO,8
CORREGO DO JENIPAPO,6
CURADO,8
DERBY,5
DOIS IRMAOS,5
DOIS UNIDOS,4
ENCRUZILHADA,8
ENGENHO DO MEIO,5
ESPINHEIRO,6
ESTANCIA,3
FUNDAO,4
GRACAS,10
GUABIRABA,5
HIPODROMO,3
IBURA,8
ILHA DO LEITE,4
ILHA DO RETIRO,6
ILHA JOANA BEZERRA,6
IMBIRIBEIRA,4
IPSEP,4
IPUTINGA,7
JAQUEIRA,5
JARDIM SAO PAULO,5
JIQUIA,5
JORDAO,3
LINHA DO TIRO,6
MACAXEIRA,4
MADALENA,7
MANGABEIRA,5
MANGUEIRA,4
MONTEIRO,5
MORRO DA CONCEICAO,5
MUSTARDINHA,4
NOVA DESCOBERTA,7
PAISSANDU,6
PARNAMIRIM,5
PASSARINHO,4
PAU FERRO,1
PEIXINHOS,3
PINA,3
POCO,4
PONTO DE PARADA,6
PORTO DA MADEIRA,4
PRADO,7
RECIFE,3
ROSARINHO,5
SAN MARTIN,10
SANCHO,4
SANTANA,6
SANTO AMARO,7
SANTO ANTONIO,5
SAO JOSE,6
SITIO DOS PINTOS - SAO BRAS,2
SOLEDADE,2
TAMARINEIRA,9
TEJIPIO,4
TORRE,6
TORREAO,4
TORROES,4
TOTO,3
VARZEA,4
VASCO DA GAMA,5
ZUMBI,4
