track_a,track_b,common_genres,n_common,peso,sim
3,Wide Awake,pop,1,0.468994,0.531006
3,Brave New Girl,pop,1,0.192551,0.807449
3,I Kissed A Girl,pop,1,0.467662,0.532338
3,my hair,pop,1,0.480506,0.519494
3,warm,pop,1,0.495254,0.504746
3,Pretty Please,pop,1,0.489038,0.510962
3,off the table (with The Weeknd),pop,1,0.480981,0.519019
3,If U Seek Amy,pop,1,0.175383,0.824617
3,intro (end of the world) - extended,pop,1,0.498168,0.501832
3,Teenage Dream - Kaskade Club Remix,pop,1,0.493493,0.506507
3,Everytime,pop,1,0.180186,0.819814
3,Gimme More,pop,1,0.197643,0.802357
3,Outrageous,pop,1,0.176459,0.823541
3,Not Like The Movies,pop,1,0.477194,0.522806
3,west side,pop,1,0.482382,0.517618
3,Nonsense,pop,1,0.495884,0.504116
3,Teenage Dream,pop,1,0.460517,0.539483
3,Wait,pop,1,0.47118,0.52882
3,Circle The Drain,pop,1,0.486067,0.513933
3,Harleys In Hawaii,pop,1,0.47987,0.52013
3,fake smile,pop,1,0.483565,0.516435
3,Juno,pop,1,0.503668,0.496332
3,This Moment,pop,1,0.4776,0.5224
3,Don't Start Now,pop,1,0.480822,0.519178
3,Future Nostalgia,pop,1,0.484777,0.515223
3,Last Dance,pop,1,0.471675,0.528325
3,Maps,pop,1,0.482227,0.517773
3,Don't Wanna Know (feat. Kendrick Lamar),pop,1,0.470469,0.529531
3,Go Go Juice,pop,1,0.507616,0.492384
3,The Way (feat. Mac Miller),pop,1,0.488955,0.511045
3,Spiritual,pop,1,0.48196,0.51804
3,six thirty,pop,1,0.487773,0.512227
...Baby One More Time,3,pop,1,0.198689,0.801311
3,motive (with Doja Cat),pop,1,0.49635,0.50365
3,Espresso,pop,1,0.489951,0.510049
3,Memories,pop,1,0.49434,0.50566
3,Last Friday Night (T.G.I.F.),pop,1,0.467343,0.532657
3,Priceless (feat. LISA),pop,1,0.490047,0.509953
3,we can't be friends (wait for your love),pop,1,0.498098,0.501902
3,Training Season,pop,1,0.488543,0.511457
3,supernatural,pop,1,0.503038,0.496962
3,Feather,pop,1,0.501688,0.498312
3,NASA,pop,1,0.47888,0.52112
3,Right There,pop,1,0.475326,0.524674
3,Dark Horse,pop,1,0.469378,0.530622
3,nasty,pop,1,0.489044,0.510956
3,Toxic,pop,1,0.17115,0.82885
3,love language,pop,1,0.487235,0.512765
3,Daylight,pop,1,0.461725,0.538275
3,emails i can’t send,pop,1,0.495173,0.504827
3,Cool,pop,1,0.483006,0.516994
3,Love Me Harder,pop,1,0.486047,0.513953
3,Bed Chem,pop,1,0.497647,0.502353
3,Bad Together,pop,1,0.47982,0.52018
3,in my head,pop,1,0.48809,0.51191
3,twilight zone,pop,1,0.493858,0.506142
3,obvious,pop,1,0.487941,0.512059
3,"yes, and?",pop,1,0.497946,0.502054
3,i wish i hated you,pop,1,0.494646,0.505354
3,One Last Time,pop,1,0.487195,0.512805
3,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",pop,1,0.466802,0.533198
3,This Love,pop,1,0.465233,0.534767
3,Sugar,pop,1,0.486295,0.513705
3,Levitating,pop,1,0.478461,0.521539
3,The One That Got Away,pop,1,0.46462,0.53538
3,Hummingbird Heartbeat,pop,1,0.474413,0.525587
3,Part Of Me,pop,1,0.466998,0.533002
3,Choose Your Battles,pop,1,0.482172,0.517828
3,Manchild,pop,1,0.507052,0.492948
3,Never Getting Laid,pop,1,0.504895,0.495105
3,intro (end of the world),pop,1,0.511433,0.488567
3,pov,pop,1,0.488135,0.511865
3,This Is How We Do,pop,1,0.463225,0.536775
3,the boy is mine,pop,1,0.508088,0.491912
3,Physical,pop,1,0.479177,0.520823
3,She Will Be Loved,pop,1,0.477802,0.522198
3,Break My Heart,pop,1,0.47841,0.52159
3,One More Night,pop,1,0.469571,0.530429
3,Slim Pickins,pop,1,0.48914,0.51086
3,Swish Swish,pop,1,0.476008,0.523992
3,Blow Your Mind (Mwah),pop,1,0.479634,0.520366
3,Hallucinate,pop,1,0.480604,0.519396
3,Please Please Please,pop,1,0.491663,0.508337
3,California Gurls - Armand Van Helden Remix,pop,1,0.492318,0.507682
3,The Hook Up,pop,1,0.190368,0.809632
3,California Gurls,pop,1,0.460186,0.539814
3,positions,pop,1,0.536535,0.463465
3,boyfriend (with Social House),pop,1,0.498421,0.501579
3,IDGAF,pop,1,0.48824,0.51176
3,I Wanna Go,pop,1,0.177354,0.822646
3,"break up with your girlfriend, i'm bored",pop,1,0.493978,0.506022
3,Cold (feat. Future),pop,1,0.487609,0.512391
3,The Way,pop,1,0.472235,0.527765
3,Taste,pop,1,0.501998,0.498002
3,Saturn Returns Interlude,pop,1,0.496026,0.503974
3,Roar,pop,1,0.473249,0.526751
3,safety net (feat. Ty Dolla $ign),pop,1,0.482705,0.517295
3,Pearl,pop,1,0.478472,0.521528
3,Love Again,pop,1,0.477698,0.522302
3,just like magic,pop,1,0.491036,0.508964
3,Boys Will Be Boys,pop,1,0.487765,0.512235
3,Lost In Your Light (feat. Miguel),pop,1,0.472043,0.527957
3,Nobody’s Son,pop,1,0.510871,0.489129
3,California Gurls - Passion Pit Main Mix,pop,1,0.484528,0.515472
3,Dumb & Poetic,pop,1,0.496273,0.503727
3,House Tour,pop,1,0.503564,0.496436
3,Love Somebody,pop,1,0.461222,0.538778
3,bloodline,pop,1,0.495921,0.504079
3,Dangerous Woman,pop,1,0.486734,0.513266
3,Be the One,pop,1,0.480306,0.519694
3,Hotter Than Hell,pop,1,0.470698,0.529302
3,Stuck with U (with Justin Bieber),pop,1,0.492556,0.507444
3,Misery,pop,1,0.462026,0.537974
3,Touch It,pop,1,0.474409,0.525591
3,Into You,pop,1,0.477425,0.522575
3,Illusion,pop,1,0.490074,0.509926
3,Fever,pop,1,0.478518,0.521482
3,Coincidence,pop,1,0.490764,0.509236
3,better off,pop,1,0.486321,0.513679
3,don't wanna break up again,pop,1,0.499797,0.500203
3,Everyday,pop,1,0.4922,0.5078
3,International Smile,pop,1,0.475209,0.524791
3,Me Against the Music (feat. Madonna) - LP Version / Video Mix,pop,1,0.196131,0.803869
3,Girls Like You (feat. Cardi B) - Cardi B Version,pop,1,0.486045,0.513955
3,Side To Side,pop,1,0.494297,0.505703
3,Dance The Night - From Barbie The Album,pop,1,0.494273,0.505727
3,Shadow,pop,1,0.213566,0.786434
3,everytime,pop,1,0.493703,0.506297
3,Lie To Girls,pop,1,0.490533,0.509467
3,Houdini,pop,1,0.518396,0.481604
3,Thinking 'Bout You,pop,1,0.479284,0.520716
3,Oops!...I Did It Again,pop,1,0.215986,0.784014
3,What Lovers Do (feat. SZA),pop,1,0.477959,0.522041
3,I Kissed A Girl - Rock Remix,pop,1,0.466216,0.533784
